customerID,tenure,PhoneService,Contract,Paperless,PaymentMethod,MonthlyCharges,MonthlyGroceryspent,Churn,Revenue,gender,Age,Partner,N_dependent
0021-IKXGC,1,Yes,Month-to-month,Yes,Electronic check,72.1,1134,No,80926,Female,77,No,0
0022-TCJCI,45,Yes,One year,No,Credit card (automatic),62.7,911,Yes,77879,Female,65,No,0
0023-HGHWL,1,No,Month-to-month,Yes,Electronic check,25.1,515,Yes,31351,Female,70,No,0
0023-UYUPN,50,Yes,One year,No,Electronic check,25.2,404,No,33401,Female,80,Yes,0
0023-XUOPT,13,Yes,Month-to-month,No,Electronic check,94.1,1413,Yes,195263,Male,33,Yes,0
0027-KWYKW,23,Yes,Month-to-month,Yes,Electronic check,83.75,1223,No,105198,Male,63,Yes,6
0030-FNXPP,3,Yes,Month-to-month,No,Mailed check,19.85,248,No,27721,Male,52,No,0
0031-PVLZI,4,Yes,Month-to-month,No,Mailed check,20.35,413,Yes,26956,Male,33,Yes,1
0032-PGELS,1,No,Month-to-month,No,Bank transfer (automatic),30.5,561,Yes,36132,Female,44,Yes,1
0036-IHMOT,55,Yes,One year,Yes,Bank transfer (automatic),103.7,1388,No,206305,Female,22,Yes,1
0040-HALCW,54,Yes,Two year,No,Credit card (automatic),20.4,611,No,44195,Male,36,Yes,1
0042-JVWOJ,26,Yes,One year,Yes,Bank transfer (automatic),19.6,318,No,40658,Male,25,No,0
0042-RLHYP,69,Yes,Two year,No,Bank transfer (automatic),19.7,241,No,40709,Male,51,Yes,5
0048-LUMLS,37,Yes,One year,No,Credit card (automatic),91.2,1358,No,173646,Male,22,Yes,1
0048-PIHNL,49,Yes,One year,No,Bank transfer (automatic),20.45,622,No,41624,Male,54,Yes,0
0052-DCKON,66,Yes,One year,No,Bank transfer (automatic),115.8,1488,No,327441,Female,31,Yes,0
0052-YNYOT,67,Yes,One year,No,Electronic check,20.55,419,No,44137,Male,48,No,0
0056-EPFBG,20,No,Two year,Yes,Credit card (automatic),39.4,824,No,41591,Female,51,Yes,1
0057-QBUQH,43,Yes,Two year,Yes,Electronic check,25.1,464,No,34854,Female,27,No,1
0058-EVZWM,55,Yes,Month-to-month,Yes,Bank transfer (automatic),89.8,1430,No,144418,Male,33,Yes,0
0060-FUALY,59,Yes,Month-to-month,Yes,Electronic check,94.75,1354,No,181621,Male,45,Yes,0
0064-SUDOG,12,Yes,Two year,No,Bank transfer (automatic),20.3,503,No,25514,Male,45,Yes,1
0064-YIJGF,27,Yes,Month-to-month,Yes,Bank transfer (automatic),75.75,1204,No,108970,Female,24,Yes,1
0067-DKWBL,2,Yes,Month-to-month,Yes,Electronic check,49.25,794,Yes,25955,Female,66,No,0
0068-FIGTF,27,Yes,One year,No,Mailed check,78.2,1178,No,111254,Female,41,No,0
0071-NDAFP,25,Yes,Two year,No,Credit card (automatic),25.5,572,No,34391,Female,50,Yes,6
0074-HDKDG,25,Yes,One year,Yes,Bank transfer (automatic),61.6,1013,No,95057,Female,40,Yes,4
0076-LVEPS,29,No,Month-to-month,Yes,Mailed check,45,672,No,29407,Female,50,No,2
0078-XZMHT,72,Yes,Two year,Yes,Bank transfer (automatic),85.15,1488,No,106409,Male,60,Yes,0
0080-EMYVY,14,Yes,One year,No,Credit card (automatic),51.45,812,No,53803,Female,63,No,0
0080-OROZO,35,Yes,One year,Yes,Electronic check,99.25,1372,No,211962,Male,39,No,0
0082-LDZUE,1,Yes,Month-to-month,Yes,Mailed check,44.3,765,No,39046,Female,34,No,0
0082-OQIQY,29,Yes,Month-to-month,Yes,Electronic check,94.2,1471,Undecided,221290,Male,19,No,0
0083-PIVIK,64,Yes,One year,No,Electronic check,81.25,1167,No,121538,Male,40,No,0
0089-IIQKO,39,Yes,Month-to-month,Yes,Credit card (automatic),99.95,1456,No,208757,Male,48,Yes,2
0093-EXYQL,40,Yes,Month-to-month,Yes,Electronic check,91.55,1358,No,125020,Male,70,No,0
0093-XWZFY,40,Yes,Month-to-month,Yes,Credit card (automatic),104.5,1357,Yes,222919,Female,50,No,0
0094-OIFMO,11,Yes,Month-to-month,Yes,Electronic check,95,1411,Yes,223475,Male,80,No,0
0096-BXERS,6,Yes,Month-to-month,No,Electronic check,50.35,813,No,60442,Female,36,Yes,0
0096-FCPUF,30,Yes,Month-to-month,Yes,Mailed check,64.5,987,No,86883,Female,43,No,0
0098-BOWSO,27,Yes,Month-to-month,Yes,Electronic check,19.4,460,No,38493,Male,26,No,0
0100-DUVFC,70,Yes,One year,Yes,Electronic check,104.8,1352,No,208566,Female,82,Yes,0
0103-CSITQ,57,Yes,One year,Yes,Bank transfer (automatic),109.4,1447,No,186923,Female,60,Yes,0
0104-PPXDV,58,Yes,One year,No,Credit card (automatic),50.3,689,No,56984,Female,55,Yes,0
0106-GHRQR,16,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1126,No,90419,Female,43,No,0
0106-UGRDO,69,Yes,Two year,Yes,Electronic check,116,1483,No,324202,Female,27,Yes,0
0107-WESLM,1,Yes,Month-to-month,Yes,Electronic check,19.85,188,Yes,37802,Male,27,No,0
0107-YHINA,1,Yes,Month-to-month,Yes,Electronic check,99.75,1416,Yes,187124,Male,27,No,1
0111-KLBQG,32,Yes,Month-to-month,Yes,Mailed check,93.95,1382,No,208259,Male,65,Yes,6
0112-QAWRZ,16,Yes,Month-to-month,Yes,Bank transfer (automatic),90.8,1407,No,138344,Male,47,Yes,1
0112-QWPNC,49,Yes,One year,No,Electronic check,84.35,1275,Yes,122503,Male,32,Yes,0
0114-IGABW,71,No,Two year,No,Bank transfer (automatic),58.25,947,No,70884,Female,32,Yes,0
0114-PEGZZ,33,Yes,Month-to-month,No,Electronic check,107.55,1462,No,186923,Female,34,No,0
0114-RSRRW,10,Yes,Month-to-month,Yes,Bank transfer (automatic),19.95,322,No,26221,Male,43,Yes,0
0115-TFERT,21,Yes,Month-to-month,Yes,Electronic check,111.2,1392,Yes,51055,Female,23,Yes,0
0117-LFRMW,37,No,Month-to-month,No,Bank transfer (automatic),40.2,787,Yes,32562,Female,28,Yes,1
0118-JPNOY,26,Yes,Month-to-month,Yes,Credit card (automatic),85.8,1429,No,109232,Male,70,No,0
0121-SNYRK,50,No,One year,Yes,Mailed check,35.4,703,Undecided,33514,Female,19,No,0
0122-OAHPZ,7,Yes,Month-to-month,Yes,Electronic check,73.85,1124,Yes,95061,Female,45,No,0
0123-CRBRT,61,Yes,Two year,No,Mailed check,88.1,1368,No,168313,Male,33,Yes,1
0125-LZQXK,15,Yes,Month-to-month,Yes,Electronic check,101.35,1423,Yes,207753,Female,32,No,0
0128-MKWSG,26,No,Month-to-month,No,Mailed check,45.8,825,No,38712,Female,27,No,1
0129-KPTWJ,72,Yes,Month-to-month,Yes,Electronic check,94.65,1476,No,212160,Male,38,Yes,0
0129-QMPDR,44,Yes,One year,Yes,Bank transfer (automatic),20.5,482,No,34853,Male,45,Yes,5
0130-SXOUN,66,Yes,Month-to-month,No,Credit card (automatic),89.4,1434,No,139551,Male,26,No,0
0133-BMFZO,2,Yes,Month-to-month,Yes,Electronic check,86.25,1403,Yes,176015,Male,40,No,0
0134-XWXCE,44,Yes,One year,No,Bank transfer (automatic),74.85,300,No,118896,Female,62,No,0
0135-NMXAP,12,Yes,Month-to-month,Yes,Bank transfer (automatic),89.75,1486,Yes,177034,Male,30,No,0
0136-IFMYD,69,Yes,Two year,Yes,Electronic check,109.95,1369,No,234776,Female,80,Yes,0
0137-OCGAB,1,Yes,Month-to-month,Yes,Mailed check,80.2,1220,Yes,119735,Male,49,No,0
0137-UDEUO,3,Yes,Month-to-month,No,Mailed check,19.85,246,Yes,27929,Male,22,No,0
0139-IVFJG,2,Yes,Month-to-month,No,Electronic check,90.35,1358,No,162144,Male,50,Yes,0
0141-YEAYS,27,Yes,Month-to-month,Yes,Bank transfer (automatic),86.45,1488,No,132040,Male,63,No,0
0142-GVYSN,26,Yes,Month-to-month,Yes,Electronic check,20.3,467,No,32489,Male,60,No,0
0147-ESWWR,39,Yes,Month-to-month,Yes,Electronic check,101.25,1392,No,189475,Female,62,Yes,0
0148-DCDOS,25,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,1365,Yes,193002,Male,33,No,0
0151-ONTOV,1,Yes,Month-to-month,No,Mailed check,70.9,1160,Yes,78322,Female,30,No,0
0156-FVPTA,22,Yes,Month-to-month,Yes,Electronic check,54.2,611,Yes,77337,Female,61,Yes,0
0164-APGRB,72,Yes,Two year,Yes,Electronic check,114.9,1481,No,193590,Female,40,No,0
0164-XAIRP,24,Yes,Two year,Yes,Bank transfer (automatic),19.55,202,No,43301,Male,40,No,0
0168-XZKBB,19,Yes,Month-to-month,Yes,Electronic check,86.85,1488,No,134723,Male,36,Yes,0
0174-QRVVY,71,Yes,Two year,No,Credit card (automatic),25.35,506,No,33288,Female,26,Yes,1
0177-PXBAT,33,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,1409,No,141859,Female,66,Yes,0
0178-CIIKR,3,Yes,Month-to-month,No,Mailed check,19.95,182,No,35920,Male,46,No,0
0178-SZBHO,47,Yes,Month-to-month,No,Electronic check,87.2,1425,No,195045,Male,26,Yes,1
0181-RITDD,62,Yes,Two year,No,Mailed check,108.15,1489,No,125417,Female,24,Yes,1
0186-CAERR,71,Yes,One year,Yes,Bank transfer (automatic),116.3,1391,No,206168,Female,40,No,0
0187-QSXOE,7,Yes,Month-to-month,Yes,Electronic check,89,1446,No,135971,Male,73,Yes,0
0187-WZNAB,27,Yes,Month-to-month,No,Mailed check,74.4,1153,No,74932,Female,35,Yes,2
0188-GWFLE,2,Yes,Month-to-month,No,Mailed check,20.05,610,No,24606,Male,25,No,0
0191-EQUUH,25,No,Two year,No,Bank transfer (automatic),35.05,662,No,42959,Female,40,No,1
0191-ZHSKZ,30,Yes,Month-to-month,Yes,Electronic check,74.75,1276,No,115618,Female,70,No,0
0193-ESZXP,58,Yes,One year,Yes,Credit card (automatic),105.5,1453,Yes,202297,Female,65,Yes,0
0195-IESCP,10,Yes,Month-to-month,Yes,Electronic check,85.25,1443,Yes,109415,Male,43,Yes,0
0196-JTUQI,9,Yes,Month-to-month,Yes,Credit card (automatic),75.2,1236,No,123566,Female,27,No,0
0196-VULGZ,6,Yes,Month-to-month,Yes,Electronic check,84.35,1149,Yes,118810,Male,70,Yes,0
0197-PNKNK,69,Yes,One year,No,Bank transfer (automatic),84.45,1226,No,119395,Male,48,Yes,4
0201-MIBOL,66,Yes,Two year,Yes,Bank transfer (automatic),102.4,1429,No,209918,Female,63,No,0
0201-OAMXR,70,Yes,One year,No,Credit card (automatic),115.55,1420,Yes,55580,Female,53,No,0
0203-HHYIJ,25,Yes,One year,No,Bank transfer (automatic),25.3,583,Yes,28908,Female,60,No,0
0206-OYVOC,46,Yes,Two year,Yes,Mailed check,19.25,1000,,30707,Male,45,Yes,5
0206-TBWLC,54,Yes,One year,Yes,Mailed check,114.65,1415,No,221853,Female,45,Yes,0
0207-MDKNV,15,Yes,Month-to-month,No,Electronic check,105.1,1383,Yes,223282,Female,40,No,0
0208-BPQEJ,12,Yes,Month-to-month,No,Bank transfer (automatic),19.4,154,No,38626,Male,33,Yes,1
0212-ISBBF,22,No,Month-to-month,Yes,Electronic check,50.35,664,No,47949,Female,37,No,0
0214-JHPFW,70,No,Two year,No,Bank transfer (automatic),57.8,895,No,89909,Female,43,Yes,0
0215-BQKGS,30,Yes,Month-to-month,Yes,Credit card (automatic),84.3,1180,No,118558,Male,27,No,0
0218-QNVAS,71,Yes,One year,No,Bank transfer (automatic),100.55,1492,No,220318,Male,46,Yes,3
0219-QAERP,30,Yes,One year,No,Credit card (automatic),19.8,286,No,135978,Male,32,Yes,0
0219-YTZUE,4,Yes,Month-to-month,Yes,Bank transfer (automatic),84.8,1268,Yes,100493,Male,49,Yes,4
0220-EBGCE,2,Yes,Month-to-month,Yes,Electronic check,85.85,1383,Yes,110502,Male,24,No,0
0221-NAUXK,10,Yes,One year,Yes,Bank transfer (automatic),19.95,331,No,38989,Male,45,No,5
0221-WMXNQ,4,Yes,Month-to-month,No,Electronic check,75.35,1229,No,117892,Female,78,No,0
0222-CNVPT,52,No,Month-to-month,Yes,Credit card (automatic),48.8,841,No,24159,Female,78,No,0
0224-HJAPT,5,Yes,Month-to-month,No,Electronic check,47.15,750,Yes,43482,Female,51,No,0
0224-NIJLP,8,Yes,Two year,No,Mailed check,20.15,615,No,30515,Male,22,Yes,1
0224-RLWWD,2,Yes,Month-to-month,Yes,Electronic check,44.3,765,No,29775,Female,69,No,0
0225-ZORZP,3,Yes,Month-to-month,No,Electronic check,84.3,1268,No,124169,Male,41,No,0
0228-MAUWC,19,Yes,Month-to-month,No,Electronic check,59.55,950,No,81186,Female,42,No,0
0229-LFJAF,72,Yes,Two year,No,Bank transfer (automatic),69.65,957,No,70297,Female,45,No,0
0230-UBYPQ,63,No,One year,No,Bank transfer (automatic),36.1,829,No,26817,Female,63,Yes,0
0230-WEQUW,66,No,Two year,Yes,Bank transfer (automatic),56.6,942,No,93463,Female,35,Yes,0
0231-LXVAP,1,Yes,Month-to-month,Yes,Electronic check,75.9,1151,Yes,104143,Female,55,No,0
0233-FTHAV,60,Yes,One year,Yes,Bank transfer (automatic),79.2,1283,No,108357,Male,52,No,0
0234-TEVTT,48,No,One year,No,Credit card (automatic),45,699,No,26115,Female,45,Yes,1
0235-KGSLC,1,Yes,Month-to-month,Yes,Credit card (automatic),85.55,1434,Yes,106463,Male,30,No,0
0236-HFWSV,15,Yes,Month-to-month,Yes,Electronic check,93.35,1491,Yes,195531,Male,36,No,0
0237-YFUTL,50,Yes,Month-to-month,Yes,Bank transfer (automatic),109.65,1457,No,50722,Female,46,Yes,0
0238-WHBIQ,72,Yes,Two year,No,Credit card (automatic),89.7,1365,No,167379,Male,32,Yes,2
0239-OXEXL,46,Yes,Month-to-month,No,Mailed check,84.25,1256,No,116301,Male,32,No,0
0244-LGNFY,72,Yes,Two year,No,Bank transfer (automatic),92.65,1367,No,124274,Male,53,Yes,1
0247-SLUJI,1,Yes,Month-to-month,No,Mailed check,19.7,183,No,26147,Male,24,Yes,1
0248-IPDFW,1,Yes,Month-to-month,Yes,Electronic check,50.1,733,No,57276,Female,53,No,0
0248-PGHBZ,67,Yes,Two year,Yes,Bank transfer (automatic),92.45,1438,No,191951,Male,65,No,0
0253-ZTEOB,48,Yes,Two year,No,Electronic check,79.65,1176,No,106728,Male,50,Yes,2
0254-FNMCI,72,Yes,Two year,Yes,Electronic check,109.9,1498,No,60436,Female,28,No,0
0254-KCJGT,52,Yes,One year,Yes,Credit card (automatic),81.4,1220,No,109498,Male,34,Yes,0
0254-WWRKD,67,Yes,One year,No,Credit card (automatic),50.55,820,No,58235,Female,41,Yes,2
0256-LTHVJ,28,Yes,Month-to-month,Yes,Electronic check,81.05,1141,Yes,118913,Male,27,Yes,1
0257-KXZGU,32,Yes,Month-to-month,No,Bank transfer (automatic),62.45,887,No,82057,Female,44,Yes,2
0257-ZESQC,27,Yes,Month-to-month,Yes,Bank transfer (automatic),75.2,1193,Yes,108136,Female,70,Yes,0
0258-NOKBL,3,Yes,Month-to-month,No,Electronic check,90.4,1472,No,166769,Male,63,No,0
0259-GBZSH,2,Yes,Month-to-month,Yes,Electronic check,85.65,1475,Yes,120293,Male,27,No,0
0260-ZDLGK,9,Yes,Month-to-month,Yes,Mailed check,72.9,1126,Yes,78079,Female,31,No,1
0263-FJTQO,50,Yes,Two year,Yes,Credit card (automatic),70.5,1172,No,79875,Female,49,Yes,2
0264-CNITK,71,Yes,Two year,No,Bank transfer (automatic),20.1,546,No,24698,Male,47,Yes,3
0265-EDXBD,32,Yes,Month-to-month,Yes,Electronic check,74.9,1173,Yes,106717,Female,65,Yes,0
0265-PSUAE,16,Yes,Month-to-month,No,Bank transfer (automatic),100.7,1355,No,188019,Male,33,Yes,1
0266-CLZKZ,67,Yes,Two year,Yes,Bank transfer (automatic),105.65,1429,No,183971,Female,40,Yes,2
0266-GMEAO,72,Yes,Two year,Yes,Credit card (automatic),114.3,1476,No,167521,Female,26,Yes,1
0268-QKIWO,3,Yes,Month-to-month,No,Electronic check,19.75,321,Yes,140935,Male,42,No,0
0269-XFESX,23,Yes,One year,No,Mailed check,24.35,549,No,30867,Male,41,Yes,2
0270-THENM,72,Yes,Two year,No,Bank transfer (automatic),69.85,962,No,85218,Female,32,Yes,2
0274-JKUJR,7,No,Month-to-month,No,Mailed check,58.85,943,No,98126,Female,22,Yes,1
0277-BKSQP,8,Yes,Month-to-month,Yes,Electronic check,54.4,764,No,88795,Female,32,Yes,2
0277-ORXQS,66,No,Two year,No,Bank transfer (automatic),50.55,640,No,58141,Female,27,Yes,1
0278-YXOOG,5,Yes,Month-to-month,No,Mailed check,21.05,516,Yes,40678,Male,35,No,0
0280-XJGEX,49,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,1453,Undecided,215199,Female,19,No,0
0281-CNTZX,63,Yes,Two year,Yes,Bank transfer (automatic),19.95,268,No,35545,Male,50,Yes,0
0282-NVSJS,12,No,Month-to-month,Yes,Mailed check,29.3,463,No,22123,Female,65,Yes,1
0285-INHLN,27,Yes,Month-to-month,Yes,Credit card (automatic),54.75,807,No,79117,Female,45,Yes,5
0289-IVARM,35,Yes,Month-to-month,No,Electronic check,60.55,1026,No,70492,Female,30,No,0
0292-WEGCH,54,Yes,Month-to-month,Yes,Electronic check,86.2,1403,No,197388,Male,40,Yes,1
0295-PPHDO,1,Yes,Month-to-month,Yes,Electronic check,95.45,1481,Yes,190556,Male,62,No,0
0295-QVKPB,5,Yes,Month-to-month,Yes,Credit card (automatic),63.95,895,No,99712,Female,28,No,0
0297-RBCSG,19,Yes,One year,Yes,Bank transfer (automatic),65.35,895,No,72140,Female,25,No,0
0298-XACET,52,No,Two year,No,Mailed check,50.2,833,No,56891,Female,35,Yes,1
0301-FIDRB,72,No,Two year,Yes,Bank transfer (automatic),63.8,913,No,70918,Female,45,Yes,3
0301-KOBTQ,32,Yes,Two year,Yes,Bank transfer (automatic),20.05,474,No,39435,Male,42,No,0
0302-JOIVN,8,Yes,Month-to-month,No,Electronic check,101.15,1438,Yes,210783,Female,48,Yes,0
0303-UNCIP,41,Yes,One year,No,Mailed check,65,1075,Undecided,76928,Female,20,No,0
0303-WMMRN,5,Yes,Month-to-month,Yes,Mailed check,19.25,1000,No,39094,Male,61,No,0
0305-SQECB,11,No,One year,Yes,Mailed check,36.05,701,No,22324,Female,44,No,2
0306-JAELE,5,Yes,Month-to-month,Yes,Electronic check,96.1,1463,Yes,223198,Male,27,No,0
0307-BCOPK,16,Yes,One year,No,Mailed check,19.05,310,No,22968,Male,24,No,0
0308-GIQJT,71,Yes,One year,No,Bank transfer (automatic),105.75,1461,No,221607,Female,71,No,0
0308-IVGOK,11,No,One year,Yes,Credit card (automatic),40.4,664,No,38975,Female,51,No,0
0310-MVLET,61,Yes,Month-to-month,Yes,Electronic check,99.15,1464,Yes,190191,Male,51,Yes,3
0310-SUCIN,71,Yes,One year,Yes,Bank transfer (automatic),84.8,1191,No,123370,Male,50,Yes,0
0310-VQXAM,9,Yes,Month-to-month,No,Mailed check,19.85,323,No,31904,Male,27,No,0
0311-QYWSS,6,Yes,Month-to-month,Yes,Electronic check,49.45,725,No,38300,Female,62,No,0
0311-UNPFF,26,Yes,Month-to-month,Yes,Bank transfer (automatic),88.8,1415,Yes,181459,Male,25,No,0
0314-TKOSI,6,Yes,Month-to-month,No,Mailed check,55.15,1069,No,95537,Female,44,No,0
0315-LVCRK,11,Yes,Month-to-month,No,Electronic check,84.8,1124,No,107744,Male,22,No,0
0318-QUUOB,1,Yes,Month-to-month,Yes,Electronic check,80.55,1213,Yes,111426,Male,25,Yes,0
0318-ZOPWS,49,Yes,Two year,Yes,Bank transfer (automatic),20.15,535,No,39926,Male,33,Yes,0
0319-QZTCO,3,Yes,Month-to-month,Yes,Credit card (automatic),58.7,978,No,95938,Female,36,Yes,2
0320-DWVTU,53,Yes,Two year,No,Mailed check,99.5,1426,No,197383,Male,30,No,0
0320-JDNQG,23,Yes,Month-to-month,Yes,Electronic check,99.85,1370,Yes,214825,Male,33,Yes,3
0322-CHQRU,2,Yes,Month-to-month,No,Electronic check,45.35,654,Yes,28277,Female,51,No,0
0322-YINQP,1,Yes,Month-to-month,Yes,Mailed check,48.55,701,Yes,32071,Female,32,No,0
0323-XWWTN,3,Yes,Two year,Yes,Mailed check,26.4,514,No,29870,Female,60,No,4
0324-BRPCJ,68,Yes,Month-to-month,Yes,Electronic check,100.2,1440,Yes,202030,Male,80,Yes,0
0325-XBFAC,8,Yes,Month-to-month,Yes,Electronic check,94.7,1469,Yes,196495,Male,64,No,0
0326-VDYXE,70,Yes,One year,Yes,Electronic check,97.65,1416,No,215806,Male,45,Yes,0
0327-WFZSY,39,Yes,One year,No,Electronic check,100,1487,No,187207,Male,22,Yes,1
0328-GRPMV,1,Yes,Month-to-month,Yes,Electronic check,70.1,1115,Yes,76251,Female,63,No,0
0329-GTIAJ,3,Yes,Month-to-month,Yes,Electronic check,97.9,1358,Yes,221966,Male,25,No,0
0330-BGYZE,60,Yes,One year,No,Bank transfer (automatic),102.5,1457,No,220649,Female,43,Yes,0
0330-IVZHA,5,Yes,Month-to-month,No,Electronic check,69.95,997,Yes,80391,Female,55,Yes,0
0334-GDDSO,3,Yes,Month-to-month,Yes,Electronic check,81.35,1275,Yes,117181,Male,65,No,0
0334-ZFJSR,55,Yes,One year,Yes,Credit card (automatic),66.05,952,No,90280,Female,51,Yes,0
0336-KXKFK,72,No,Two year,Yes,Credit card (automatic),61.2,882,No,80817,Female,56,No,0
0336-PIKEI,72,Yes,Two year,No,Bank transfer (automatic),74.4,1271,No,96270,Female,65,Yes,0
0337-CNPZE,41,Yes,Month-to-month,Yes,Electronic check,106.3,1477,Yes,208364,Female,55,No,0
0343-QLUZP,60,No,Two year,No,Bank transfer (automatic),39.6,601,No,29920,Female,50,No,0
0345-HKJVM,6,Yes,Month-to-month,No,Electronic check,89.3,1419,Yes,147917,Male,46,No,0
0345-XMMUG,46,Yes,Two year,Yes,Credit card (automatic),108.9,1409,No,225971,Female,29,Yes,0
0347-UBKUZ,15,Yes,Month-to-month,No,Mailed check,19.9,316,No,41428,Male,39,No,0
0348-SDKOL,58,Yes,Month-to-month,Yes,Credit card (automatic),102.1,1435,Yes,206099,Female,51,Yes,0
0354-VXMJC,23,Yes,Two year,No,Credit card (automatic),19.6,170,No,34327,Male,26,Yes,1
0354-WYROK,31,Yes,Month-to-month,Yes,Electronic check,98.9,1403,Yes,212462,Male,78,Yes,3
0356-ERHVT,11,Yes,Month-to-month,Yes,Bank transfer (automatic),45.9,832,No,39943,Female,45,Yes,0
0356-OBMAC,56,Yes,Two year,Yes,Bank transfer (automatic),99.9,1366,No,193713,Male,66,No,0
0357-NVCRI,25,Yes,Month-to-month,No,Credit card (automatic),20.05,419,No,39363,Male,31,No,2
0361-HJRDX,68,No,Two year,No,Credit card (automatic),64.35,1054,No,80625,Female,51,No,0
0362-RAOQO,40,Yes,Two year,No,Credit card (automatic),19.65,271,No,24973,Male,45,No,0
0362-ZBZWJ,36,Yes,Month-to-month,Yes,Electronic check,84.9,1191,Yes,110596,Male,55,No,0
0363-QJVFX,32,Yes,Month-to-month,Yes,Credit card (automatic),108.15,1437,Yes,104915,Female,51,No,0
0363-SVHYR,71,Yes,Two year,No,Bank transfer (automatic),86.85,1388,No,199399,Male,27,Yes,3
0365-BZUWY,17,Yes,Month-to-month,Yes,Electronic check,102.55,1447,No,198540,Female,49,Yes,0
0365-GXEZS,18,Yes,Month-to-month,No,Electronic check,78.2,1214,No,114864,Female,45,Yes,0
0365-TRTPY,37,Yes,Month-to-month,No,Bank transfer (automatic),91.2,1397,No,165890,Male,26,No,0
0366-NQSHS,2,Yes,Month-to-month,No,Mailed check,19.35,293,No,28174,Male,33,No,0
0369-ZGOVK,28,Yes,One year,Yes,Bank transfer (automatic),70.4,1179,No,72061,Female,51,Yes,4
0373-AIVNJ,9,No,One year,No,Mailed check,39.55,778,No,28642,Female,25,No,0
0374-AACSZ,1,Yes,Month-to-month,No,Electronic check,50.15,644,No,,Female,57,No,0
0374-FIUCA,65,Yes,Two year,Yes,Credit card (automatic),20.4,433,No,36786,Male,19,Yes,0
0374-IOEGQ,3,Yes,Month-to-month,No,Electronic check,44.6,758,No,25484,Female,41,No,0
0375-HVGXO,1,No,Month-to-month,Yes,Electronic check,34.7,596,Yes,23844,Female,60,No,0
0376-OIWME,36,Yes,Month-to-month,Yes,Electronic check,93.6,1485,No,201180,Male,45,Yes,0
0376-YMCJC,23,Yes,Month-to-month,Yes,Electronic check,90.6,1444,Yes,140044,Male,50,No,0
0377-JBKKT,22,Yes,Month-to-month,Yes,Mailed check,57.95,913,No,76578,Female,41,Yes,1
0378-CJKPV,72,Yes,Two year,No,Credit card (automatic),112.1,1492,No,28032,Female,33,Yes,0
0378-NHQXU,17,Yes,Month-to-month,No,Electronic check,88.25,1443,Yes,137607,Male,23,Yes,0
0378-TOVMS,3,Yes,Month-to-month,No,Electronic check,85.8,1421,Yes,104803,Male,45,No,0
0378-XSZPU,58,Yes,One year,No,Credit card (automatic),60.3,1044,Yes,80339,Female,49,Yes,0
0379-DJQHR,67,Yes,Two year,No,Credit card (automatic),81.35,1154,No,115605,Male,27,Yes,1
0380-NEAVX,34,Yes,One year,Yes,Electronic check,99.85,1442,No,190660,Male,71,No,0
0380-ZCSBI,10,Yes,Month-to-month,No,Credit card (automatic),20,192,No,42420,Male,32,No,0
0383-CLDDA,69,Yes,Two year,Yes,Credit card (automatic),85.35,1380,No,103437,Male,22,No,0
0384-LPITE,40,No,One year,No,Credit card (automatic),62.05,970,No,88697,Female,60,No,0
